Itens NÃO mapeados (fora da região) para resultados_apartamento_aluguel:
Idx: 6, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 486, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 488, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 499, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 500, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 506, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 524, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 527, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 537, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 542, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 544, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 547, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 549, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 551, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 560, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 566, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 571, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 579, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 582, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 586, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 593, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 595, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 597, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 598, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 599, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 604, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 605, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 609, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 621, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 622, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 629, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 634, End: Alto Paraíso de Goiás, Coords: (-14.1375039,-47.516804), Fonte: Existente
Idx: 636, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 638, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 649, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 663, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 669, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 670, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 671, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 696, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 697, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 707, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 714, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 732, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 733, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 768, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 769, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 772, End: São João D'Aliança, Coords: (-14.7071742,-47.5221432), Fonte: Existente
Idx: 773, End: Goianésia, Setor Universitário, Coords: (-15.3310453,-49.127016), Fonte: Existente
Idx: 775, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 780, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 781, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 805, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 806, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 810, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 813, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 815, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 823, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 832, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 836, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 837, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 848, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 853, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 865, End: Planaltina, Setor Norte, Coords: (-15.4435452,-47.6069695), Fonte: Existente
Idx: 871, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 880, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 886, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 890, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 892, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 896, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 898, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 903, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 906, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 936, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 937, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 943, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 945, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 946, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 948, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 951, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 953, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 958, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 965, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 970, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 976, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 999, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1002, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1011, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1013, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1018, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1021, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1025, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1030, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1037, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1038, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1041, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1052, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1053, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1060, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1062, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1071, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1083, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1095, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1100, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1103, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1105, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1108, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1111, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1112, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1119, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1123, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1127, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1147, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1152, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1161, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1163, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1165, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1167, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1173, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1177, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1187, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1189, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1191, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1196, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1209, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1210, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1222, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1224, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1237, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1246, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1247, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1253, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1256, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1271, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1274, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1279, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1287, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1291, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1299, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1304, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1305, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1310, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1319, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1320, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1321, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1328, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1339, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1356, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1358, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1366, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1367, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1369, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1371, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1382, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1386, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1387, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1388, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1398, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1401, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1423, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 1430, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 3477, End: Avenida São Domingos, Apartamento para alugar emFazenda São Domingos, Goiânia, Goiânia, Brasil, Coords: (-17.1870702,-46.3972076), Fonte: Existente
Idx: 3601, End: Apartamento para alugar emJardim Bela Vista - Continuação, Aparecida de Goiânia, Goiânia, Brasil, Coords: (-19.6362675,-48.2702117), Fonte: Existente
